 Наименование; Изготовитель; Номер свидетельства и дата; Этикетка; Происхождение; Противопоказания; Срок годности; Год регистрации; Количество групп компонентов;Пищевые вещества Витамины, витаминоподобные вещества и коферменты;Пищевые вещества Макро- и микроэлементы;Пищевые вещества Жиры, жироподобные вещества и их производные;Пищевые вещества Белки, пептиды, аминокислоты,  нуклеиновые кислоты;Минорные компоненты растений Фенольные соединения;Минорные компоненты растений Алкалоиды;Пробиотики в монокультурах и ассоциациях  Пробиотические микроорганизмы;Пищевые вещества Углеводы и продукты их переработки;Минорные компоненты растений Сапонины;Минорные компоненты растений Терпеноиды;Минорные компоненты растений Естественные метаболиты и стимуляторы метаболизма;Минорные компоненты растений Гидроксикоричные кислоты;Минорные компоненты растений Ферменты;Минорные компоненты растений Дубильные вещества;"Минеральные и минерало-органические природные субстанции Цеолиты
Гуминовые кислоты";Система органов для беременных, кормящих и планирующих беременность;Система органов костно-мышечная сиситема;Система органов нервная система;Система органов иммунная система;Система органов пищеварительный тракт и обмен веществ;Система органов мочеполовая система;Система органов дерматологические БАД;Система органов органы чувств;Система органов сердечно-сосудистая система;Система органов противоопухолевые БАД;Система органов противопаразитарные БАД;Система органов дыхательная система;Система органов кровь и система кроветворения;Система органов противомикробные БАД; Форма выпуска; Продолжительность приема; Происхождение (природное/синтетическое); Сырье (растительное/животное/биологическое);Группа населения предназначен для детей;Группа населения возраст детей;Группа населения предназначен для взрослых;Группа населения пол;Группа населения пожилые
"биологически активная добавка к пище ""МИРРА-ДИОВИТ"" (таблетки массой 500 мг)";"ЗАО ""Мирра-М"", 105082, г.Москва, Переведеновский пер., д.6, стр.2 (адрес производства - 142279, Московская обл, Серпуховской р-н, п.Оболенск, ФГУП ""ГНЦ ПМ"", корп.31) (Российская Федерация)";RU.77.99.11.003.Е.050856.11.11 от 11.11.2011;Рекомендации по применению: взрослым по 1 таблетке 2 раза в день во время еды. Продолжительность приема - 20 дней. Срок годности - 2 года. Хранить в сухом месте при комнатной температуре не выше +25°С. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением проконсультироваться с врачом.;отечественное;Рекомендации по применению: взрослым по 1 таблетке 2 раза в день во время еды. Продолжительность приема - 20 дней. Срок годности - 2 года. Хранить в сухом месте при комнатной температуре не выше +25°С. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением проконсультироваться с врачом.;2 года;2011;2;;;;;фенольн;;;;;;ест;;;;;;;;иммунитет;;;;;;;;;;;таблетки;1 месяц и менее;Природное (растительное, биологическое);Дрожжевой автолизат (Дрожжи пекарские - Saccharomyces cerevisiae), дигидрокверцетин (Лиственница сибирская - Larix sibirica);;;взрослые;;
"биологически активная добавка к пище ""Миррадол"" (таблетки массой 0,7 г )";"ЗАО ""Мирра-М"", 105082, г.Москва, Переведеновский пер., д.6, стр.2 (адрес производства - 142279, Московская обл, Серпуховской р-н, п.Оболенск, ФГУП ""ГНЦ ПМ"", корп.31) (Российская Федерация)";RU.77.99.11.003.Е.050855.11.11 от 11.11.2011;Рекомендации по применению: взрослым и детям старше 12 лет по 5 таблеток 2 раза в день во время еды. Продолжительность приема 15 дней. Срок годности - 2 года. Хранить в сухом, прохладном месте. Противопоказания: индивидуальная непереносимость компонентов БАД, беременным и кормящим женщинам. Перед применением рекомендуется проконсультироваться с врачом.;отечественное;Рекомендации по применению: взрослым и детям старше 12 лет по 5 таблеток 2 раза в день во время еды. Продолжительность приема 15 дней. Срок годности - 2 года. Хранить в сухом, прохладном месте. Противопоказания: индивидуальная непереносимость компонентов БАД, беременным и кормящим женщинам. Перед применением рекомендуется проконсультироваться с врачом.;2 года;2011;1;;;;;фенольн;;;;;;;;;;;;;нервная;иммунитет;;;;;;;;;;;таблетки;1 месяц и менее;Природное (биологическое);Дрожжевой автолизат (Дрожжи пекарские - Saccharomyces cerevisiae);дети;от 12 лет;взрослые;;
"биологически активная добавка к пище ""МИРРАСИЛ-2"" (капсулы массой 0,3 г)";"ЗАО ""Мирра-М"", 105082, г.Москва, Переведеновский пер., д.6, стр.2 (адрес производства - 142279, Московская обл, Серпуховской р-н, п.Оболенск, ФГУП ""ГНЦ ПМ"", корп.31) (Российская Федерация)";RU.77.99.11.003.Е.051173.11.11 от 11.11.2011;Рекомендации по применению: взрослым по 5 капсул 2 раза в день во время еды. Продолжительность приема 1-2 месяца. Срок годности - 2 года. Хранить в сухом, защищенном от света месте при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов БАД. Перед применением следует проконсультироваться с врачом.;отечественное;индивидуальная непереносимость компонентов ;2 года;2011;2;вит;;пнжк;;;;;;;;;;;;;;;;;;;;;сердце;;;;;;капсулы;1-2 месяца;Природное (растительное);Масло расторопши (Расторопша пятнистая - Silybum marianum), масло шиповника (Шиповник - Rosa), ликопин (Томат обыкновенный - Solanum lycopersicum);;;взрослые;;
"биологически активная добавка к пище ""МИРРАСИЛ-1"" (капсулы массой 0,3 г)";"ЗАО ""Мирра-М"", 105082, г.Москва, Переведеновский пер., д.6, стр.2 (адрес производства - 142279, Московская обл, Серпуховской р-н, п.Оболенск, ФГУП ""ГНЦ ПМ"", корп.31) (Российская Федерация)";RU.77.99.11.003.Е.051177.11.11 от 11.11.2011;Рекомендации по применению: взрослым по 4 капсулы 2 раза в день во время еды. Продолжительность приема 1-2 месяца, прием можно повторять 2-3 раза в год. Срок годности - 2 года. Хранить в сухом, защищенном от света месте при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов БАД. Перед применением следует проконсультироваться с врачом.;отечественное;индивидуальная непереносимость компонентов ;2 года;2011;2;вит;;пнжк;;;;;;;;;;;;;;;;;;;;;;;;;;;капсулы;1-2 месяца;Природное (растительное);Масло расторопши (Расторопша пятнистая - Silybum marianum), масло кедровое (Кедр сибирский - Pinus sibirica);;;взрослые;;
"биологически активная добавка к пище ""Эхинацея"" (таблетки массой 0,3 г, капсулы по 0,25 г)";"ОАО ""Холдинг ""Эдас"", 113191, г. Москва, Варшавское ш., д.5, корп.5 (адрес производства - Владимирская обл., г.Покров, ул.Ленина, д.45) (Российская Федерация)";RU.77.99.11.003.Е.052862.11.11 от 11.11.2011;Рекомендации по применению: взрослым по 2 таблетки (капсулы) 2 раза в день во время еды. Продолжительность приема - 2 недели. Рекомендуется 3-4 курса в год. Перед применением следует проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, туберкулез, лейкоз, рассеянный склероз, коллагеноз. Срок годности - 2 года. Хранить в сухом, защищенном от света месте при температуре не выше 25°С.;отечественное;Рекомендации по применению: взрослым по 2 таблетки (капсулы) 2 раза в день во время еды. Продолжительность приема - 2 недели. Рекомендуется 3-4 курса в год. Перед применением следует проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, туберкулез, лейкоз, рассеянный склероз, коллагеноз. Срок годности - 2 года. Хранить в сухом, защищенном от света месте при температуре не выше 25°С.;2 года;2011;2;вит;;;;;;;;;;;гидроксикор;;;;;;;иммунитет;;;;;;;;;;;таблетки, капсулы;1 месяц и менее;Природное (растительное);Экстракт эхинацеи пурпурной (Эхинацея пурпурная - Echinacea purpurea);;;взрослые;;
"биологически активная добавка к пище ""Уник Омега -3 "" (""Unic Omega-3"") (капсулы по 0,5 г)";"""Napro Pharma AS"", Strandgata 60 N-6270 Brattvaag (Норвегия)";RU.77.99.11.003.Е.047387.11.11 от 17.11.2011;Рекомендации по применению: взрослым по 2 капсулы 2-3 раза в день во время еды. Продолжительность приема 1-2 месяца, можно повторять 2-3 раза в год. Противопоказания: индивидуальная непереносимость компонентов БАД, повышенная кровоточивсть. Хранить в сухом прохладном защищенном от света месте , в плотно закрытой упаковке. Срок годности - 2 года. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;Рекомендации по применению: взрослым по 2 капсулы 2-3 раза в день во время еды. Продолжительность приема 1-2 месяца, можно повторять 2-3 раза в год. Противопоказания: индивидуальная непереносимость компонентов БАД, повышенная кровоточивсть. Хранить в сухом прохладном защищенном от света месте , в плотно закрытой упаковке. Срок годности - 2 года. Перед применением рекомендуется проконсультироваться с врачом.;2 года;2011;1;;;пнжк;;;;;;;;;;;;;;;;иммунитет;;;;;;;;;;;капсулы;1-2 месяца;Природное (растительное, животное);Лососевый жир (Лосось - Salmo), экстракт розмарина (Розмарин лекарственный - Rosmarinus officinalis);;;взрослые;;
"биологически активная добавка к пище ""Глюкозамин-Плас"" (""Glucosamine-Plus"") (таблетки массой 1200 мг)";"""Нутрикеа Интернешнл"" (""Nutricare International""), 819 Santee Street, Los Angeles, CA 90014 (США)";RU.77.99.11.003.Е.052629.11.11 от 18.11.2011;Рекомендации по применению: взрослым по 1 таблетке в день во время еды. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, лицам, принимающим антикоагулянты. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом месте при комнатной температуре.;иностранное;Рекомендации по применению: взрослым по 1 таблетке в день во время еды. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, лицам, принимающим антикоагулянты. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом месте при комнатной температуре.;2 года;2011;2;;;;;фенольн;;;полисахариды;;;;;;;;;суставы;;;;;;;;;;;;;таблетки;не указано;Природное (растительное, животное);Глюкозамин сульфат (Креветка - Caridea), хондроитинсульфат (Хрящ говяжий - Bos taurus), экстракт корней куркумы длинной (Куркума длинная - Curcuma longa);;;взрослые;;
"биологически активная добавка к пище ""Акулий Хрящ"" (""Shark Cartilage"") (капсулы массой 0,9 г)";"""Нутрикеа Интернешнл"" (""Nutricare International""), 819 Santee Street, Los Angeles, CA 90014 (США)";RU.77.99.11.003.Е.052630.11.11 от 18.11.2011;Рекомендации по применению: взрослым по 3 капсулы 3 раза в день во время еды. Продолжительность приема - 1 месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грдью. Хранить при температуре 15-30°С в сухом, недоступном для детей месте. Срок годности - 2 года.;иностранное;Рекомендации по применению: взрослым по 3 капсулы 3 раза в день во время еды. Продолжительность приема - 1 месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грдью. Хранить при температуре 15-30°С в сухом, недоступном для детей месте. Срок годности - 2 года.;2 года;2011;1;;;;;;;;полисахариды;;;;;;;;;суставы;;;;;;;;;;;;;капсулы;1 месяц и менее;Природное (животное);Порошок акульего хряща (Акула - Selachimorpha);;;взрослые;;
"биологически активная добавка к пище ""Лецикинг"" (""Leciking"") (гранулы в банках от 150 г до 500 г)";"""Gargill, Inc."", 4340 18 the Ave. SW. Suite 200 Fargo, ND 58104, США, расфасована ГУП ""Вологодская фармацевтическая фабрика"", г.Вологда ул.Лечебная, д.30-а (Российская Федерация)";RU.77.99.11.003.Е.051435.11.11 от 24.11.2011;"Рекомендации по применению: взрослым по 2 чайных ложки в день во время еды. Продолжительность приёма - 1-2 месяца. Прием можно повторять 2-3 раза в год. Срок годности - 2 года с дня производства; 18 месяцев с дня фасовки. Хранить в сухом при температуре не выше +25°С. Противопоказания: индивидуальная непереносимость компонентов БАД. Перед применением рекомендуется проконсультироваться с врачом.";отечественное;индивидуальная непереносимость компонентов ;2 года;2011;1;;;пнжк;;;;;;;;;;;;;;;нервная;;;;;;;;;;;;гранулы;1-2 месяца;Природное (растительное);Лецитин соевый (Соя культурная – Glycine max;;;взрослые;;
"биологически активная добавка к пище ""ЧерникаМакс Кидс"" (жевательные таблетки массой 1,330±0,066 г)";"ЗАО ""ГНЦ ПМ Фарма"", 107014, г. Москва, ул. Русаковская, д. 22 (адрес производства: производственный участок ЗАО ""ГНЦ ПМ Фарма"", Московская обл., Чеховский район, пос.Любучаны, промплощадка ОАО ""Институт инженерной иммунологии"", корп. 1) (Российская Федерация)";RU.77.99.11.003.Е.048543.11.11 от 29.11.2011;Рекомендации по применению: детям с 7 лет и старше принимать по 1 таблетке 1-2 раза в день во время еды. Продолжительность приема - 1-2 месяца. Противопоказания: индивидуальная непереносимость компонентов БАД. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом, недоступном для детей месте при температуре не выше +25°С.;отечественное;индивидуальная непереносимость компонентов ;2 года;2011;3;вит;элементы;;;фенольн;;;;;;;;;;;;;;;;;;глаза;;;;;;;таблетки;1-2 месяца;Природное (растительное);Сухие экстракты плодов черники (Черника обыкновенная – Vaccinium myrtillus) и плодов шиповника (Шиповник майский – Rosa majalis).;;;;;
"биологически активная добавка к пище ""ИМТ 22-25"" (""IMC 22-25"") (капсулы массой 330 мг)";"""Laboratoires Yves Ponroy - Institut de Recherche Biologique"", Parc d'Activite Sud Loire, BP 1211, 85612 Montaigu Cedex (Франция)";RU.77.99.11.003.Е.048553.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 1 капсуле 2 раза в день во время завтрака и обеда. Срок годности - 3 года. Хранить в сухом, недоступном для детей месте при температуре не выше +25°С. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;Рекомендации по применению: взрослым по 1 капсуле 2 раза в день во время завтрака и обеда. Срок годности - 3 года. Хранить в сухом, недоступном для детей месте при температуре не выше +25°С. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом.;3 года;2011;много;вит;элементы;;;фенольн;алкалоид;;;;;;;;;;;;;;жкт;;;;;;;;;;капсулы;не указано;Природное (растительное);Экстракт гуараны (Гуарана – Paullinia cupana), экстракт виноградной выжимки (Виноград культурный – Vitis vinifera), экстракт кожуры апельсина (Апельсин сладкий – Citrus sinensis), экстракт ортосифона тычиночного (Ортосифон тычиночный – Orthosiphon stamineus), экстракт какао (Какао настоящее – Theobroma cacao), экстракт падуба парагвайского (Падуб парагвайский – Ilex paraguariensis), экстракт папайи (Папайя – Carica papaya), экстракт черенков вишни (Вишня обыкновенная – Prunus cerasus).;;;взрослые;;
"биологически активная добавка к пище ""Простабиол"" (капсулы по 900 мг)";"""Laboratoires Yves Ponroy - Institut de Recherche Biologique"", Parc d'Activite Sud Loire, BP 1211, 85612 Montaigu Cedex (Франция)";RU.77.99.11.003.Е.048562.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 2 капсулы 1 раз в день во время еды в первой половине дня. Продолжительность приема - 30 дней. Противопоказания: индивидуальная непереносимость компонентов БАД. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в темном месте при температуре не выше 25°С.;иностранное;индивидуальная непереносимость компонентов ;3 года;2011;2;вит;элементы;;;;;;;;;;;;;;;;;;жкт;;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное, животное);Масло семян тыквы (Тыква обыкновенная – Cucurbita pepo), экстракт мальпигии гранатолистной (Мальпигия гранатолистная – Malpighia emarginata), желтый пчелиный воск (Пчела медоносная – Apis mellifera), пыльца (Пчела медоносная – Apis mellifera), дрожжи, богатые селеном (Дрожжи пекарские – Saccharomyces cerevisiae), лецитин сои (Соя культурная – Glycine max);;;взрослые;;
"биологически активная добавка к пище ""ДНКаВИТ"" (таблетки массой 0,2 г)";"ФГУП ""ТИНРО-Центр"", 690950, Приморский край, г.Владивосток, пер.Шевченко, д.4 (адрес производства - г.Владивосток, ул.Западная, д.10) и ООО ""Биополимеры"", 692856, Приморский край, г.Партизанск, ул.Кутузова, д.60 (Российская Федерация)";RU.77.99.11.003.Е.051627.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 1 таблетке 1 раз в день во время еды. Продолжительность приема - 15 дней с повторным приемом при необходимости. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, нарушения пуринового обмена, подагра. Хранить в сухом месте при комнатной температуре (не выше 22°С). Срок годности - 36 месяцев.;отечественное;Рекомендации по применению: взрослым по 1 таблетке 1 раз в день во время еды. Продолжительность приема - 15 дней с повторным приемом при необходимости. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, нарушения пуринового обмена, подагра. Хранить в сухом месте при комнатной температуре (не выше 22°С). Срок годности - 36 месяцев.;3 года;2011;2;вит;;;аминокислоты;;;;;;;;;;;;;;нервная;иммунитет;;;;;;;;;;;таблетки;1 месяц и менее;Синтетическое ;;;;взрослые;;
"биологически активная добавка к пище ""Терминатор жира форте"" (таблетки массой 600 мг)";"ООО ""В-МИН"", 141300, Московская область, г. Сергиев Посад, Московское шоссе, 68 км (Российская Федерация)";RU.77.99.11.003.Е.051646.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 1 таблетке 2 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Срок годности - 2 года. Хранить в сухом, защищенном от света месте при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом.;отечественное;Рекомендации по применению: взрослым по 1 таблетке 2 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Срок годности - 2 года. Хранить в сухом, защищенном от света месте при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом.;2 года;2011;3;;элементы;;;фенольн;;;;;;ест;;;;;;;;;жкт;;;;;;;;;;таблетки;1 месяц и менее;Природное (растительное);Экстракт гарцинии камбоджийской (Гарциния камбоджийская – Garcinia gummi-gutta), зеленый чай (Чай китайский – Camellia sinensis), трава хвоща полевого (Хвощ полевой – Equisetum arvense).;;;взрослые;;
"биологически активная добавка к пище ""Эротизин форте флюид"" (""Erotisin forte fluid"") (жидкость во флаконах по 10 мл)";"""МИЛАН Арцнеймиттель ГмбХ"" (""MILAN Arzneimittel GmbH""), Ландштрассе 31, 38667 Бад Харцбург (Landstrasse 31, 38667 Bad Harzburg) (ФРГ) Германия";RU.77.99.11.003.Е.051647.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 10 мл с небольшим количеством жидкости 1 раз в день во время еды, перед употреблением взболтать. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, ишемическая болезнь сердца, выраженный атеросклероз, прием в вечернее время, заболевания печени и почек. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;Рекомендации по применению: взрослым по 10 мл с небольшим количеством жидкости 1 раз в день во время еды, перед употреблением взболтать. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, ишемическая болезнь сердца, выраженный атеросклероз, прием в вечернее время, заболевания печени и почек. Перед применением рекомендуется проконсультироваться с врачом.;3 года;2011;2;вит;;;;фенольн;;;;;;;;;;;;;;;;почки;;;;;;;;;растворы;1 месяц и менее;Природное (растительное);Экстракт коры йохимбе (Йохимбе – Pausinystalia johimbe), экстракт листьев дамианы (Дамиана лекарственная – Turnera diffusa), экстракт коры муира пуама (Муира пуама – Ptychopetalum olacoides);;;взрослые;;
"биологически активная добавка к пище ""Эротизин драже"" (""Erotisin Dragees"") (драже массой 430 мг)";"""МИЛАН Арцнеймиттель ГмбХ"" (""MILAN Arzneimittel GmbH""), Ландштрассе 31, 38667 Бад Харцбург (Landstrasse 31, 38667 Bad Harzburg) (ФРГ) Германия";RU.77.99.11.003.Е.051648.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 2-3 драже 2 раза в день, запивая небольшим количеством жидкости, во время еды. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, повышенное артериальное давление, нарушение сердечной деятельности, выраженный атеросклероз, прием в вечернее время. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;Рекомендации по применению: взрослым по 2-3 драже 2 раза в день, запивая небольшим количеством жидкости, во время еды. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, повышенное артериальное давление, нарушение сердечной деятельности, выраженный атеросклероз, прием в вечернее время. Перед применением рекомендуется проконсультироваться с врачом.;3 года;2011;3;;;;;фенольн;;;;сапонины;терпен;;;;;;;;;;;почки;;;;;;;;;драже;1 месяц и менее;Природное (растительное);Порошок коры муира пуама (Муира пуама – Ptychopetalum olacoides), экстракт корня женьшеня (Женьшень настоящий – Panax ginseng), порошок листьев дамианы (Дамиана лекарственная – Turnera diffusa), экстракт коры муира пуама (Муира пуама – Ptychopetalum olacoides), экстракт листьев дамианы (Дамиана лекарственная – Turnera diffusa), лецитин (Подсолнечник однолетний – Helianthus annuus).;;;взрослые;;
"биологически активная добавка к пище ""Эро-сехин форте драже"" (""Ero-sexin forte Dragees"") (драже массой 450 мг)";"""МИЛАН Арцнеймиттель ГмбХ"" (""MILAN Arzneimittel GmbH""), Ландштрассе 31, 38667 Бад Харцбург (Landstrasse 31, 38667 Bad Harzburg) (ФРГ) Германия";RU.77.99.11.003.Е.051649.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 2-3 драже в день во время еды. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, ишемическая болезнь сердца, выраженный атеросклероз, прием в вечернее время, заболевания печени и почек. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;Рекомендации по применению: взрослым по 2-3 драже в день во время еды. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, ишемическая болезнь сердца, выраженный атеросклероз, прием в вечернее время, заболевания печени и почек. Перед применением рекомендуется проконсультироваться с врачом.;3 года;2011;1;вит;;;;;;;;;;;;;;;;;;;;почки;;;;;;;;;драже;1 месяц и менее;Природное (растительное);Порошок листьев дамианы (Дамиана лекарственная – Turnera diffusa), порошок коры муира пуама (Муира пуама – Ptychopetalum olacoides), (Подсолнечник однолетний – Helianthus annuus), сухой экстракт коры йохимбе (Йохимбе – Pausinystalia johimbe), сухой экстракт листьев дамианы (Дамиана лекарственная – Turnera diffusa), сухой экстракт из коры муира пуама (Муира пуама – Ptychopetalum olacoides);;;взрослые;;
"биологически активная добавка к пище ""Сех-мини-таблеттен феминин"" (""Sex-Mini-Tabletten feminin"") (таблетки массой 100 мг)";"""МИЛАН Арцнеймиттель ГмбХ"" (""MILAN Arzneimittel GmbH""), Ландштрассе 31, 38667 Бад Харцбург (Landstrasse 31, 38667 Bad Harzburg) (ФРГ) Германия";RU.77.99.11.003.Е.051650.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 2-3 таблетки 2-3 раза в день во время еды, запивая небольшим количеством воды. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, выраженный атеросклероз. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;Рекомендации по применению: взрослым по 2-3 таблетки 2-3 раза в день во время еды, запивая небольшим количеством воды. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, выраженный атеросклероз. Перед применением рекомендуется проконсультироваться с врачом.;3 года;2011;3;;;;;;алкалоид;;;сапонины;терпен;;;;;;;;;;;почки;;;;;;;;;таблетки;1 месяц и менее;Природное (растительное);Экстракт коры муира пуама (Муира пуама - Ptychopetalum olacoides), экстракт семян колы (Кола блестящая - Cola nitida), экстракт листьев дамианы (Дамиана лекарственная - Turnera diffusa), лецитин (подсолнечный или соевый - Helianthus annuus/Glycine max).;;;взрослые;;
"биологически активная добавка к пище ""Либес-цукер маскулин"" (""Liebes-Zucker maskulin"") (порошок по 100 г)";"""МИЛАН Арцнеймиттель ГмбХ"" (""MILAN Arzneimittel GmbH""), Ландштрассе 31, 38667 Бад Харцбург (Landstrasse 31, 38667 Bad Harzburg) (ФРГ) Германия";RU.77.99.11.003.Е.051651.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 1 чайной ложке 1 раз в день во время еды, предварительно растворив в любом напитке. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, повышенное артериальное давление, нарушение сердечной деятельности. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;Рекомендации по применению: взрослым по 1 чайной ложке 1 раз в день во время еды, предварительно растворив в любом напитке. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, повышенное артериальное давление, нарушение сердечной деятельности. Перед применением рекомендуется проконсультироваться с врачом.;3 года;2011;1;;;;;;;;;;терпен;;;;;;;;;;;почки;;;;;;;;;порошок;1 месяц и менее;Природное (растительное);Экстракт коры муира пуама (Муира пуама – Ptychopetalum olacoides), экстракт листьев дамианы (Дамиана лекарственная – Turnera diffusa);;;взрослые;;
"биологически активная добавка к пище ""Либес цукер феминин"" (""Liebes-Zuсker feminin"") (порошок по 100 г)";"""МИЛАН Арцнеймиттель ГмбХ"" (""MILAN Arzneimittel GmbH""), Ландштрассе 31, 38667 Бад Харцбург (Landstrasse 31, 38667 Bad Harzburg) (ФРГ) Германия";RU.77.99.11.003.Е.051652.11.11 от 29.11.2011;Рекомендации по применению: взрослым по 1 чайной ложке 1 раз в день во время еды, предварительно растворив в любом напитке. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение сердечной деятельности, выраженный атеросклероз. Перед применением рекомендуется проконсультироваться с врачом.;иностранное;Рекомендации по применению: взрослым по 1 чайной ложке 1 раз в день во время еды, предварительно растворив в любом напитке. Продолжительность приема - 1 месяц. Срок годности - 3 года. Хранить в сухом, прохладном месте, недоступном для детей. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение сердечной деятельности, выраженный атеросклероз. Перед применением рекомендуется проконсультироваться с врачом.;3 года;2011;2;;;;;;алкалод;;;;терпен;;;;;;;;;;;почки;;;;;;;;;порошок;1 месяц и менее;Природное (растительное);Экстракт семян колы (Кола блестящая - Cola nitida), экстракт коры муира пуама (Мира пуама - Ptychopetalum olacoides), экстракт листьев дамианы (Тёрнера раскидистая - Turnera diffusa);;;взрослые;;
